item,type,calories,fat_g,carb_g,fiber_g,protein,sodium,protein_g
Cool Lime Starbucks Refreshers™ Beverage,Drink,45,0,11,0,0,10,NA
Ombré Pink Drink,Drink,NA,NA,NA,NA,NA,NA,NA
Pink Drink,Drink,NA,NA,NA,NA,NA,NA,NA
Strawberry Acai Starbucks Refreshers™ Beverage,Drink,80,0,18,1,0,10,NA
Very Berry Hibiscus Starbucks Refreshers™ Beverage,Drink,60,0,14,1,0,10,NA
Violet Drink,Drink,NA,NA,NA,NA,NA,NA,NA
Evolution Fresh™ Cold-Pressed Apple Berry Juice,Drink,NA,NA,NA,NA,NA,NA,NA
Evolution Fresh™ Defense Up,Drink,NA,NA,NA,NA,NA,NA,NA
Evolution Fresh™ Organic Ginger Limeade,Drink,110,0,28,0,0,5,NA
Iced Coffee,Drink,0,0,0,0,0,0,NA
Iced Coffee with Milk,Drink,NA,NA,NA,NA,NA,NA,NA
Iced Espresso Classics - Vanilla Latte,Drink,130,2.5,21,0,5,65,NA
Iced Espresso Classics - Caffe Mocha,Drink,140,2.5,23,0,5,90,NA
Iced Espresso Classics - Caramel Macchiato,Drink,130,2.5,21,0,5,65,NA
Starbucks® Caramel Iced Coffee,Drink,NA,NA,NA,NA,NA,NA,NA
Starbucks® Iced Coffee + Milk,Drink,NA,NA,NA,NA,NA,NA,NA
Starbucks® Low Calorie Iced Coffee + Milk,Drink,NA,NA,NA,NA,NA,NA,NA
Starbucks® Vanilla Iced Coffee,Drink,NA,NA,NA,NA,NA,NA,NA
Shaken Sweet Tea,Drink,80,0,19,0,0,10,NA
Tazo® Bottled Berry Blossom White,Drink,60,0,15,0,0,10,NA
Tazo® Bottled Black Mango,Drink,150,0,38,0,0,15,NA
Tazo® Bottled Black with Lemon,Drink,140,0,35,0,0,10,NA
Tazo® Bottled Brambleberry,Drink,140,0,35,0,0,15,NA
Tazo® Bottled Giant Peach,Drink,150,0,37,0,0,15,NA
Tazo® Bottled Iced Passion,Drink,70,0,17,0,0,10,NA
Tazo® Bottled Lemon Ginger,Drink,120,0,31,0,0,10,NA
Tazo® Bottled Organic Black Lemonade,Drink,140,0,35,0,0,10,NA
Tazo® Bottled Organic Iced Black Tea,Drink,60,0,15,0,0,10,NA
Tazo® Bottled Organic Iced Green Tea,Drink,120,0,31,0,0,10,NA
Tazo® Bottled Plum Pomegranate,Drink,140,0,35,0,0,10,NA
Tazo® Bottled Tazoberry,Drink,150,0,38,0,0,15,NA
Tazo® Bottled White Cranberry,Drink,140,0,35,0,0,10,NA
Teavana® Shaken Iced Black Tea,Drink,30,0,8,0,0,5,NA
Teavana® Shaken Iced Black Tea Lemonade,Drink,70,0,17,0,0,0,NA
Teavana® Shaken Iced Green Tea,Drink,30,0,8,0,0,5,NA
Teavana® Shaken Iced Green Tea Lemonade,Drink,70,0,17,0,0,5,NA
Teavana® Shaken Iced Passion Tango™ Tea,Drink,30,0,8,0,0,5,NA
Teavana® Shaken Iced Passion Tango™ Tea Lemonade,Drink,90,0,24,0,0,0,NA
Teavana® Shaken Iced Peach Green Tea,Drink,60,0,15,0,0,0,NA
Iced Espresso Classics - Vanilla Latte,Drink,130,2.5,21,0,5,65,NA
Iced Espresso Classics - Caffe Mocha,Drink,140,2.5,23,0,5,90,NA
Iced Espresso Classics - Caramel Macchiato,Drink,130,2.5,21,0,5,65,NA
Iced Espresso Classics - Skinny Caramel Macchiato,Drink,NA,NA,NA,NA,NA,NA,NA
Iced Espresso Classics - Skinny Vanilla Latte,Drink,NA,NA,NA,NA,NA,NA,NA
Starbucks Doubleshot® Energy Coffee Drink,Drink,NA,NA,NA,NA,NA,NA,NA
Starbucks Doubleshot® Energy Mexican Mocha,Drink,NA,NA,NA,NA,NA,NA,NA
Starbucks Doubleshot® Energy Mocha Drink,Drink,NA,NA,NA,NA,NA,NA,NA
Starbucks Doubleshot® Energy Vanilla Drink,Drink,NA,NA,NA,NA,NA,NA,NA
Starbucks Doubleshot® Energy White Chocolate Drink,Drink,NA,NA,NA,NA,NA,NA,NA
Starbucks Doubleshot® Energy+Cinnamon Dolce Drink,Drink,NA,NA,NA,NA,NA,NA,NA
